name,category,affiliations,role,stakeholder_flags,status,date_of_event,calibration_note,cites
"John Alexander","government-military","Department of War (formerly DoD)","Retired Army colonel; Pentagon non-lethal weapons program; UAP investigator-author","","retired","","",""
"Robert Bigelow","witness-experiencer","AAWSAP / BAASS; Skinwalker Ranch","BAASS founder; Skinwalker Ranch owner; DIA AAWSAP contractor","defense-contractor; disclosure-advocate","active","","",""
"Chris Bledsoe","witness-experiencer","","North Carolina contactee; 'The Lady' NHI interactions investigated by scientists and IC","experiencer","active","","",""
"Eric Davis","intelligence-community","AAWSAP / BAASS","Physicist; Wilson-Davis memo co-author; Earthtech senior scientist","intel-community; contested-status","active","","The Wilson-Davis memo has been entered into the Congressional Record but has not been officially confirmed or denied by Davis or Wilson. Its contents remain contested evidence, not established fact.",""
"Luis Elizondo","intelligence-community","To The Stars Academy (TTSA); UAPTF (Unidentified Aerial Phenomena Task Force, 2020–2022); The Age of Disclosure (2025); January 23, 2026 Congressional Hearing","Former AATIP director; TTSA co-founder; Five Observables primary source","disclosure-advocate","active","","",""
"Tim Gallaudet","government-military","Sol Foundation; Disclosure Foundation; Americans for Safe Aerospace; The Age of Disclosure (2025); January 23, 2026 Congressional Hearing","Rear Admiral (Ret.); former Acting NOAA Administrator; advisor to Sol Foundation and Disclosure Foundation","disclosure-advocate","retired","","",""
"David Grusch","intelligence-community","UAPTF (Unidentified Aerial Phenomena Task Force, 2020–2022); House UAP Caucus","Former NRO analyst; July 2023 whistleblower testimony; Congressional adviser to Burlison","disclosure-advocate; whistleblower","active","","",""
"Stuart Hameroff","scientist-academic","","University of Arizona anesthesiologist; Orch-OR co-developer with Penrose","","active","","",""
"Donald Hoffman","scientist-academic","","UC Irvine cognitive scientist; Interface Theory of Perception; Conscious Realism","","active","","",""
"Colm Kelleher","scientist-academic","AAWSAP / BAASS; Skinwalker Ranch","BAASS/NIDSci lead scientist; Skinwalker hitchhiker effect documenter","","active","","",""
"Sean Kirkpatrick","intelligence-community","AARO (All-domain Anomaly Resolution Office)","Former AARO Director (2022–2023); published no-credible-evidence conclusion","contested-status","retired","","Representative Luna's 'documented liar' characterization is on the Congressional record. Kirkpatrick maintains his AARO findings are accurate and has publicly critiqued PURSUE Release 01 as light on substantive content. Both positions are on the public record.",""
"Jon Kosloski","government-military","AARO (All-domain Anomaly Resolution Office)","AARO Director; NSA quantum-optics researcher acknowledging unexplained cases","","active","","",""
"Avi Loeb","scientist-academic","Galileo Project","Harvard astrophysicist; Galileo Project founder; interstellar object researcher","disclosure-advocate","active","","",""
"Anna Paulina Luna","legislator","House UAP Caucus","House UAP Caucus co-chair; AARO accountability and whistleblower protection advocate","disclosure-advocate","active","","",""
"Nancy Mace","legislator","House UAP Caucus; January 23, 2026 Congressional Hearing","House Oversight UAP hearings; whistleblower intimidation inquiries","disclosure-advocate","active","","",""
"Joe McMoneagle","witness-experiencer","Project Stargate (SRI)","Army remote viewer (Ret.); documented Project Stargate operative","intel-community","retired","","",""
"Chris Mellon","intelligence-community","To The Stars Academy (TTSA); Sol Foundation; The Age of Disclosure (2025); January 23, 2026 Congressional Hearing","Former DASD for Intelligence; Nimitz video leaker; Sol Foundation co-founder","disclosure-advocate","active","","",""
"Karl Nell","government-military","Sol Foundation; UAPTF (Unidentified Aerial Phenomena Task Force, 2020–2022)","Retired Army colonel; UAPTF attaché; zero-doubt NHI statements at SALT 2024","disclosure-advocate","retired","","",""
"Garry Nolan","scientist-academic","Sol Foundation; Sol Foundation 2025 Italy Symposium","Stanford immunologist; UAP experiencer brain imaging; materials analysis with Vallée","disclosure-advocate","active","","",""
"Diana Walsh Pasulka","scientist-academic","","UNC Wilmington religious studies professor; American Cosmic author","experiencer","active","","",""
"Hal Puthoff","intelligence-community","To The Stars Academy (TTSA); Project Stargate (SRI)","Physicist; SRI remote viewing co-director; TTSA director","disclosure-advocate; intel-community","active","","",""
"Mike Rogers","legislator","House UAP Caucus","Former HPSCI Chair; Lockheed PAC recipient; cited UAPDA dilution critic","legislative-blocker; defense-contractor","retired","","",""
"Jim Semivan","intelligence-community","To The Stars Academy (TTSA)","Retired CIA SIS officer (25 years); TTSA co-founder; Bledsoe case investigator","disclosure-advocate","retired","","",""
"Maria Strømme","scientist-academic","","Uppsala nanotechnology professor; field theory of consciousness (AIP Advances 2025)","","active","","",""
"Ingo Swann","witness-experiencer","Project Stargate (SRI)","SRI coordinate remote viewing protocol co-developer; Penetration author","intel-community","deceased","","",""
"Matthew Szydagis","scientist-academic","","SUNY Albany physicist; UAP disclosure statistical modeling in Limina","","active","","",""
"Mike Turner","legislator","House UAP Caucus","HPSCI Chair; Wright-Patterson district; Lockheed PAC recipient","legislative-blocker; defense-contractor","active","","",""
"Jacques Vallée","scientist-academic","Sol Foundation; Sol Foundation 2025 Italy Symposium","Astrophysicist-venture capitalist; Passport to Magonia; Nolan materials co-author","disclosure-advocate","active","","",""
"Thomas Wilson","government-military","","Former DIA Director; Wilson-Davis memo central figure","","retired","","",""
"Roger Penrose","scientist-academic","","Nobel laureate mathematical physicist; Orch-OR co-developer with Hameroff","","active","","",""
"Jay Stratton","intelligence-community","UAPTF (Unidentified Aerial Phenomena Task Force, 2020–2022); Skinwalker Ranch; The Age of Disclosure (2025)","Former UAPTF director (2017–2022); on-camera non-human craft testimony","disclosure-advocate; intel-community","retired","","",""
"David Fravor","government-military","The Age of Disclosure (2025)","Navy Commander (Ret.); lead pilot, 2004 USS Nimitz Tic Tac encounter","disclosure-advocate; experiencer","retired","","",""
"Alex Dietrich","government-military","The Age of Disclosure (2025)","Navy Lt. Cmdr. (Ret.); WSO in second Nimitz F/A-18 during Tic Tac encounter","disclosure-advocate; experiencer","retired","","",""
"Ryan Graves","government-military","","Former F/A-18 pilot; Americans for Safe Aerospace founder; July 2023 House testimony","whistleblower; disclosure-advocate","retired","","",""
"Pete Hegseth","government-military","Department of War (formerly DoD); PURSUE (Presidential Unsealing and Reporting System for UAP Encounters)","Secretary of War; operational lead for PURSUE declassification program","disclosure-advocate","active","","","https://www.war.gov/UFO; CBS coverage of May 8, 2026 release"
"Mike Gold","government-military","The Age of Disclosure (2025)","Former NASA Associate Administrator for Space Policy; NASA UAP study team member","disclosure-advocate","active","","",""
"Travis Taylor","scientist-academic","UAPTF (Unidentified Aerial Phenomena Task Force, 2020–2022); Skinwalker Ranch; The Age of Disclosure (2025)","Astrophysicist; former UAPTF chief scientist; Skinwalker Ranch program scientist","disclosure-advocate; intel-community","active","","",""
"Maj. Gen. William Neil McCasland","government-military","Department of War (formerly DoD)","Former AFRL Commander (Ret.); missing since Feb 27, 2026, Albuquerque","missing; contested-status","missing","","McCasland's disappearance is a real and unresolved missing-persons case. The framing of his disappearance as part of a coordinated state-sponsored neutralization of disclosure-adjacent figures is contested. Multiple credible voices — including Avi Loeb (""We have a Missing Science problem, not a Missing Scientists problem,"" April 2026) and President Trump himself — have publicly disputed the linkage. The investigation is ongoing.",""
"Eric Burlison","legislator","House UAP Caucus","House UAP Caucus member; Grusch adviser; UAPDA NDAA amendment sponsor","disclosure-advocate","active","","",""
"Tim Burchett","legislator","House UAP Caucus","House UAP advocate; DOGE chair; partner with Luna on withheld UAP videos","disclosure-advocate","active","","",""
"Marco Rubio","legislator","The Age of Disclosure (2025)","Secretary of State; former Senate Intelligence Vice Chair; UAP briefings","disclosure-advocate","active","","",""
"Kirsten Gillibrand","legislator","Senate UAPDA Sponsors; The Age of Disclosure (2025)","U.S. Senator (D-NY); bipartisan UAPDA co-sponsor; AARO establishment via FY2022 NDAA","disclosure-advocate","active","","",""
"Mike Rounds","legislator","Senate UAPDA Sponsors; The Age of Disclosure (2025)","U.S. Senator (R-SD); UAPDA co-sponsor; Records Review Board advocate","disclosure-advocate","active","","",""
"Chuck Schumer","legislator","Senate UAPDA Sponsors","Senate Minority Leader; lead Senate UAPDA sponsor (S.Amdt.3111)","disclosure-advocate","active","","",""
"Mitch McConnell","legislator","Senate UAPDA Sponsors","Former Senate Minority Leader; named in UAPDA stripping allegations","legislative-blocker; contested-status","retired","","McConnell and his office have not responded to direct inquiries from Liberation Times or other outlets seeking comment on these allegations. Attribution rests on multi-source congressional insider accounts and Burlison's public statements; the legislative record itself shows only that the UAPDA was repeatedly stripped during conference, without identifying the specific staff or member responsible.",""
